seat number,building,date,time slot,student number
54,C,2024-05-16,14:00-16:00,S10018
24,B,2024-09-21,14:00-16:00,S10018
66,D,2024-11-03,16:00-18:00,S10018
37,B,2024-06-27,16:00-18:00,S10018
60,C,2024-12-21,14:00-16:00,S10018
54,C,2024-12-08,16:00-18:00,S10018
55,C,2024-12-07,16:00-18:00,S10018
24,B,2024-12-12,14:00-16:00,S10018
37,B,2024-12-10,16:00-18:00,S10018
51,C,2024-10-14,16:00-18:00,S10018
53,C,2024-05-16,14:00-16:00,S10018
78,D,2024-08-16,14:00-16:00,S10018
40,B,2024-02-25,10:00-12:00,S10018
2,A,2024-08-22,14:00-16:00,S10018
53,C,2024-12-09,14:00-16:00,S10018
70,D,2024-12-12,10:00-12:00,S10018
36,B,2024-12-22,16:00-18:00,S10018
27,B,2024-06-22,14:00-16:00,S10018
67,D,2024-12-18,16:00-18:00,S10018
67,D,2024-10-24,14:00-16:00,S10018
4,A,2024-07-03,14:00-16:00,S10032
37,B,2024-12-03,14:00-16:00,S10018
10,A,2024-08-13,10:00-12:00,S10018
13,A,2024-10-12,10:00-12:00,S10018
19,A,2024-11-13,14:00-16:00,S10018
48,C,2024-05-14,16:00-18:00,S10018
13,A,2024-12-16,8:00-10:00,S10018
21,B,2024-05-11,16:00-18:00,S10018
3,A,2024-05-11,16:00-18:00,S10018
50,C,2024-05-18,14:00-16:00,S10018
38,B,2024-12-25,14:00-16:00,S10018
62,D,2024-12-27,14:00-16:00,S10018
27,B,2024-12-11,16:00-18:00,S10018
45,C,2024-11-25,16:00-18:00,S10018
62,D,2024-05-07,8:00-10:00,S10018
50,C,2024-10-02,16:00-18:00,S10018
19,A,2024-06-02,16:00-18:00,S10018
34,B,2024-05-12,14:00-16:00,S10018
38,B,2024-12-28,16:00-18:00,S10018
29,B,2024-09-22,16:00-18:00,S10018
2,A,2024-12-25,14:00-16:00,S10018
79,D,2024-12-13,14:00-16:00,S10018
16,A,2024-05-24,16:00-18:00,S10018
28,B,2024-04-05,10:00-12:00,S10018
47,C,2024-12-05,14:00-16:00,S10018
52,C,2024-06-05,16:00-18:00,S10018
50,C,2024-03-16,8:00-10:00,S10018
41,C,2024-11-13,14:00-16:00,S10018
57,C,2024-10-16,14:00-16:00,S10018
71,D,2024-03-10,10:00-12:00,S10018
53,C,2024-12-09,8:00-10:00,S10018
26,B,2024-12-01,16:00-18:00,S10018
29,B,2024-10-06,14:00-16:00,S10018
52,C,2024-02-18,14:00-16:00,S10018
47,C,2024-12-06,14:00-16:00,S10049
20,A,2024-10-11,14:00-16:00,S10049
62,D,2024-12-20,8:00-10:00,S10049
71,D,2024-12-03,14:00-16:00,S10049
37,B,2024-11-23,10:00-12:00,S10049
12,A,2024-12-14,16:00-18:00,S10049
56,C,2024-05-13,14:00-16:00,S10049
17,A,2024-12-21,14:00-16:00,S10049
40,B,2024-02-05,16:00-18:00,S10049
47,C,2024-03-14,8:00-10:00,S10049
3,A,2024-12-16,14:00-16:00,S10049
52,C,2024-03-23,16:00-18:00,S10049
71,D,2024-10-08,14:00-16:00,S10049
23,B,2024-12-13,16:00-18:00,S10049
41,C,2024-05-01,14:00-16:00,S10049
64,D,2024-05-21,14:00-16:00,S10049
28,B,2024-12-04,14:00-16:00,S10049
75,D,2024-02-27,16:00-18:00,S10049
51,C,2024-04-05,14:00-16:00,S10049
80,D,2024-05-14,16:00-18:00,S10049
35,B,2024-10-26,16:00-18:00,S10049
68,D,2024-05-02,16:00-18:00,S10049
74,D,2024-05-24,16:00-18:00,S10049
10,A,2024-05-19,16:00-18:00,S10049
33,B,2024-05-12,16:00-18:00,S10049
68,D,2024-10-10,14:00-16:00,S10049
51,C,2024-06-22,16:00-18:00,S10049
37,B,2024-05-15,10:00-12:00,S10049
61,D,2024-04-07,16:00-18:00,S10049
21,B,2024-01-14,10:00-12:00,S10101
66,D,2024-06-17,14:00-16:00,S10101
39,B,2024-05-05,16:00-18:00,S10101
21,B,2024-09-14,10:00-12:00,S10101
56,C,2024-05-15,14:00-16:00,S10101
19,A,2024-11-15,14:00-16:00,S10101
54,C,2024-12-01,14:00-16:00,S10101
60,C,2024-11-05,8:00-10:00,S10101
19,A,2024-03-18,14:00-16:00,S10101
7,A,2024-04-01,16:00-18:00,S10101
80,D,2024-09-17,14:00-16:00,S10101
44,C,2024-02-05,14:00-16:00,S10101
77,D,2024-05-11,16:00-18:00,S10101
8,A,2024-12-18,16:00-18:00,S10101
55,C,2024-04-22,8:00-10:00,S10101
29,B,2024-05-12,14:00-16:00,S10101
77,D,2024-05-04,14:00-16:00,S10101
50,C,2024-06-25,10:00-12:00,S10101
71,D,2024-02-14,14:00-16:00,S10101
57,C,2024-12-28,14:00-16:00,S10101
43,C,2024-12-14,16:00-18:00,S10101
12,A,2024-01-15,16:00-18:00,S10101
21,B,2024-10-14,10:00-12:00,S10101
16,A,2024-01-12,10:00-12:00,S10101
61,D,2024-05-20,14:00-16:00,S10101
36,B,2024-05-18,8:00-10:00,S10101
3,A,2024-03-18,14:00-16:00,S10101
58,C,2024-05-22,10:00-12:00,S10101
63,D,2024-05-05,14:00-16:00,S10101
72,D,2024-02-24,16:00-18:00,S10101
49,C,2024-11-25,16:00-18:00,S10101
64,D,2024-05-28,14:00-16:00,S10101
13,A,2024-09-22,14:00-16:00,S10101
74,D,2024-06-03,16:00-18:00,S10101
11,A,2024-11-04,8:00-10:00,S10101
35,B,2024-11-27,14:00-16:00,S10098
18,A,2024-03-09,8:00-10:00,S10098
51,C,2024-05-06,16:00-18:00,S10098
5,A,2024-02-20,14:00-16:00,S10098
32,B,2024-12-22,14:00-16:00,S10098
77,D,2024-05-21,14:00-16:00,S10098
2,A,2024-05-23,16:00-18:00,S10098
74,D,2024-05-03,8:00-10:00,S10098
58,C,2024-11-26,8:00-10:00,S10098
43,C,2024-12-17,14:00-16:00,S10098
77,D,2024-03-01,8:00-10:00,S10098
66,D,2024-06-03,14:00-16:00,S10098
1,A,2024-05-10,10:00-12:00,S10098
79,D,2024-09-16,10:00-12:00,S10098
76,D,2024-12-26,14:00-16:00,S10098
39,B,2024-12-07,16:00-18:00,S10098
35,B,2024-12-22,10:00-12:00,S10098
9,A,2024-03-22,14:00-16:00,S10098
76,D,2024-05-14,14:00-16:00,S10098
69,D,2024-09-25,14:00-16:00,S10098
23,B,2024-02-20,8:00-10:00,S10098
78,D,2024-09-21,16:00-18:00,S10098
34,B,2024-05-06,14:00-16:00,S10098
41,C,2024-02-15,8:00-10:00,S10098
3,A,2024-05-28,14:00-16:00,S10098
63,D,2024-12-09,16:00-18:00,S10098
11,A,2024-05-26,10:00-12:00,S10098
2,A,2024-09-07,10:00-12:00,S10098
44,C,2024-04-14,8:00-10:00,S10098
23,B,2024-04-09,10:00-12:00,S10098
7,A,2024-05-09,10:00-12:00,S10098
10,A,2024-12-24,10:00-12:00,S10098
5,A,2024-05-18,8:00-10:00,S10098
48,C,2024-09-24,16:00-18:00,S10098
8,A,2024-10-22,16:00-18:00,S10098
56,C,2024-09-21,8:00-10:00,S10098
7,A,2024-07-09,14:00-16:00,S10173
6,A,2024-12-16,14:00-16:00,S10098
18,A,2024-01-18,10:00-12:00,S10098
14,A,2024-12-03,14:00-16:00,S10098
63,D,2024-05-18,14:00-16:00,S10098
34,B,2024-01-25,14:00-16:00,S10098
73,D,2024-05-23,14:00-16:00,S10098
13,A,2024-07-09,10:00-12:00,S10052
22,B,2024-12-04,8:00-10:00,S10098
65,D,2024-04-18,16:00-18:00,S10098
26,B,2024-11-01,10:00-12:00,S10098
67,D,2024-05-13,14:00-16:00,S10098
20,A,2024-07-09,8:00-10:00,S10086
45,C,2024-12-06,10:00-12:00,S10098
27,B,2024-05-09,16:00-18:00,S10174
20,A,2024-12-07,14:00-16:00,S10174
34,B,2024-05-21,14:00-16:00,S10174
12,A,2024-03-21,14:00-16:00,S10174
45,C,2024-11-18,14:00-16:00,S10174
52,C,2024-04-06,14:00-16:00,S10174
14,A,2024-08-28,8:00-10:00,S10174
58,C,2024-02-09,14:00-16:00,S10174
41,C,2024-12-14,14:00-16:00,S10174
20,A,2024-07-09,14:00-16:00,S10165
42,C,2024-10-18,14:00-16:00,S10174
35,B,2024-12-05,14:00-16:00,S10174
41,C,2024-12-27,16:00-18:00,S10174
9,A,2024-07-09,16:00-18:00,S10094
23,B,2024-12-01,14:00-16:00,S10174
33,B,2024-05-18,14:00-16:00,S10174
64,D,2024-05-28,10:00-12:00,S10174
5,A,2024-05-25,14:00-16:00,S10174
37,B,2024-11-02,14:00-16:00,S10174
6,A,2024-08-01,10:00-12:00,S10174
43,C,2024-02-22,10:00-12:00,S10174
21,B,2024-06-02,14:00-16:00,S10174
50,C,2024-05-01,10:00-12:00,S10174
31,B,2024-05-17,14:00-16:00,S10174
16,A,2024-07-09,16:00-18:00,S10135
33,B,2024-04-08,8:00-10:00,S10174
20,A,2024-11-27,8:00-10:00,S10174
63,D,2024-05-09,16:00-18:00,S10174
43,C,2024-05-23,14:00-16:00,S10174
54,C,2024-04-18,14:00-16:00,S10174
21,B,2024-05-09,8:00-10:00,S10174
22,B,2024-12-08,16:00-18:00,S10174
80,D,2024-11-16,16:00-18:00,S10174
25,B,2024-05-22,16:00-18:00,S10174
8,A,2024-07-11,8:00-10:00,S10063
15,A,2024-07-12,8:00-10:00,S10122
11,A,2024-05-19,10:00-12:00,S10174
34,B,2024-04-26,14:00-16:00,S10174
28,B,2024-05-10,10:00-12:00,S10174
30,B,2024-01-27,16:00-18:00,S10174
38,B,2024-06-13,16:00-18:00,S10174
63,D,2024-06-07,10:00-12:00,S10174
75,D,2024-05-05,10:00-12:00,S10174
48,C,2024-12-19,10:00-12:00,S10174
67,D,2024-02-06,14:00-16:00,S10174
42,C,2024-09-06,8:00-10:00,S10066
37,B,2024-01-08,10:00-12:00,S10066
38,B,2024-02-21,10:00-12:00,S10066
75,D,2024-02-15,14:00-16:00,S10066
62,D,2024-08-19,16:00-18:00,S10066
31,B,2024-12-19,16:00-18:00,S10066
57,C,2024-11-18,14:00-16:00,S10066
20,A,2024-04-01,16:00-18:00,S10066
80,D,2024-02-07,14:00-16:00,S10066
68,D,2024-12-22,14:00-16:00,S10066
21,B,2024-01-11,16:00-18:00,S10066
29,B,2024-12-16,16:00-18:00,S10066
15,A,2024-03-23,10:00-12:00,S10066
22,B,2024-02-22,14:00-16:00,S10066
6,A,2024-12-08,14:00-16:00,S10066
66,D,2024-09-14,14:00-16:00,S10066
13,A,2024-05-02,10:00-12:00,S10066
53,C,2024-12-09,16:00-18:00,S10066
69,D,2024-02-03,10:00-12:00,S10066
37,B,2024-04-22,14:00-16:00,S10066
64,D,2024-11-24,16:00-18:00,S10066
67,D,2024-12-28,14:00-16:00,S10066
22,B,2024-12-01,10:00-12:00,S10066
57,C,2024-09-13,10:00-12:00,S10066
59,C,2024-04-05,10:00-12:00,S10066
43,C,2024-05-10,8:00-10:00,S10066
68,D,2024-03-03,14:00-16:00,S10066
26,B,2024-05-28,14:00-16:00,S10066
80,D,2024-02-25,16:00-18:00,S10066
23,B,2024-04-27,16:00-18:00,S10066
31,B,2024-02-02,14:00-16:00,S10074
63,D,2024-12-04,8:00-10:00,S10074
27,B,2024-05-26,14:00-16:00,S10074
76,D,2024-05-18,16:00-18:00,S10074
30,B,2024-06-22,14:00-16:00,S10074
19,A,2024-05-01,14:00-16:00,S10074
74,D,2024-10-16,14:00-16:00,S10074
51,C,2024-04-22,14:00-16:00,S10074
39,B,2024-05-04,10:00-12:00,S10074
15,A,2024-05-10,10:00-12:00,S10074
43,C,2024-09-28,14:00-16:00,S10074
28,B,2024-03-27,14:00-16:00,S10074
38,B,2024-05-04,14:00-16:00,S10074
62,D,2024-12-27,10:00-12:00,S10074
8,A,2024-05-17,14:00-16:00,S10074
31,B,2024-09-27,8:00-10:00,S10074
28,B,2024-12-25,16:00-18:00,S10074
46,C,2024-05-01,16:00-18:00,S10074
41,C,2024-10-05,16:00-18:00,S10074
68,D,2024-12-15,16:00-18:00,S10074
25,B,2024-12-05,14:00-16:00,S10074
19,A,2024-12-01,10:00-12:00,S10074
58,C,2024-04-24,10:00-12:00,S10074
12,A,2024-12-01,14:00-16:00,S10074
20,A,2024-05-27,14:00-16:00,S10074
37,B,2024-03-15,16:00-18:00,S10074
22,B,2024-03-18,10:00-12:00,S10074
15,A,2024-12-02,8:00-10:00,S10074
42,C,2024-05-18,14:00-16:00,S10074
61,D,2024-05-04,16:00-18:00,S10074
22,B,2024-05-04,14:00-16:00,S10074
46,C,2024-05-15,16:00-18:00,S10074
70,D,2024-05-02,16:00-18:00,S10074
48,C,2024-05-12,16:00-18:00,S10074
68,D,2024-02-15,8:00-10:00,S10074
23,B,2024-06-23,14:00-16:00,S10074
21,B,2024-05-28,14:00-16:00,S10074
66,D,2024-05-27,10:00-12:00,S10074
5,A,2024-10-11,8:00-10:00,S10074
45,C,2024-12-11,16:00-18:00,S10074
7,A,2024-07-14,14:00-16:00,S10098
21,B,2024-05-01,16:00-18:00,S10074
71,D,2024-09-26,8:00-10:00,S10074
54,C,2024-11-15,14:00-16:00,S10074
10,A,2024-04-22,14:00-16:00,S10074
14,A,2024-10-18,16:00-18:00,S10074
22,B,2024-12-06,14:00-16:00,S10074
45,C,2024-12-20,10:00-12:00,S10074
2,A,2024-12-16,16:00-18:00,S10074
14,A,2024-03-04,16:00-18:00,S10074
19,A,2024-05-10,14:00-16:00,S10065
2,A,2024-12-23,14:00-16:00,S10065
11,A,2024-05-04,14:00-16:00,S10065
77,D,2024-05-05,14:00-16:00,S10065
26,B,2024-05-25,14:00-16:00,S10065
61,D,2024-04-19,10:00-12:00,S10065
14,A,2024-05-02,16:00-18:00,S10065
74,D,2024-04-17,10:00-12:00,S10065
72,D,2024-05-05,14:00-16:00,S10065
49,C,2024-05-20,14:00-16:00,S10065
78,D,2024-09-09,10:00-12:00,S10065
10,A,2024-12-17,10:00-12:00,S10065
36,B,2024-12-06,16:00-18:00,S10065
28,B,2024-06-12,8:00-10:00,S10065
37,B,2024-05-27,8:00-10:00,S10065
35,B,2024-02-18,16:00-18:00,S10065
60,C,2024-05-06,14:00-16:00,S10065
78,D,2024-05-21,10:00-12:00,S10065
35,B,2024-09-21,16:00-18:00,S10065
68,D,2024-05-01,16:00-18:00,S10065
4,A,2024-06-22,16:00-18:00,S10065
40,B,2024-05-23,10:00-12:00,S10065
14,A,2024-02-16,14:00-16:00,S10065
3,A,2024-05-07,16:00-18:00,S10065
29,B,2024-06-04,14:00-16:00,S10065
44,C,2024-05-18,8:00-10:00,S10065
42,C,2024-09-28,16:00-18:00,S10065
46,C,2024-10-04,16:00-18:00,S10065
64,D,2024-06-14,8:00-10:00,S10065
62,D,2024-03-26,14:00-16:00,S10065
65,D,2024-12-17,14:00-16:00,S10065
60,C,2024-05-24,16:00-18:00,S10065
77,D,2024-05-01,10:00-12:00,S10065
50,C,2024-05-08,16:00-18:00,S10065
21,B,2024-05-03,14:00-16:00,S10065
8,A,2024-05-14,14:00-16:00,S10065
3,A,2024-12-07,14:00-16:00,S10065
32,B,2024-11-11,14:00-16:00,S10065
70,D,2024-09-05,16:00-18:00,S10065
44,C,2024-03-16,14:00-16:00,S10065
55,C,2024-12-10,14:00-16:00,S10065
78,D,2024-10-25,14:00-16:00,S10065
16,A,2024-12-04,16:00-18:00,S10065
68,D,2024-05-19,14:00-16:00,S10065
44,C,2024-05-08,10:00-12:00,S10065
59,C,2024-05-14,14:00-16:00,S10065
16,A,2024-02-14,16:00-18:00,S10065
79,D,2024-05-13,16:00-18:00,S10065
51,C,2024-12-18,14:00-16:00,S10065
41,C,2024-11-06,14:00-16:00,S10065
32,B,2024-12-25,10:00-12:00,S10061
30,B,2024-10-25,14:00-16:00,S10061
74,D,2024-11-26,10:00-12:00,S10061
68,D,2024-11-11,16:00-18:00,S10061
24,B,2024-12-22,10:00-12:00,S10061
5,A,2024-05-21,14:00-16:00,S10061
66,D,2024-05-18,10:00-12:00,S10061
56,C,2024-09-09,16:00-18:00,S10061
31,B,2024-05-27,14:00-16:00,S10061
58,C,2024-03-23,16:00-18:00,S10061
48,C,2024-12-25,14:00-16:00,S10061
47,C,2024-03-05,10:00-12:00,S10061
34,B,2024-12-09,10:00-12:00,S10061
70,D,2024-10-07,14:00-16:00,S10061
78,D,2024-06-08,16:00-18:00,S10061
57,C,2024-02-06,16:00-18:00,S10061
67,D,2024-12-19,16:00-18:00,S10061
64,D,2024-12-18,10:00-12:00,S10061
29,B,2024-06-20,16:00-18:00,S10061
40,B,2024-12-17,16:00-18:00,S10061
47,C,2024-05-18,16:00-18:00,S10061
42,C,2024-12-16,14:00-16:00,S10061
21,B,2024-05-15,10:00-12:00,S10061
70,D,2024-09-21,14:00-16:00,S10061
72,D,2024-11-25,8:00-10:00,S10061
64,D,2024-05-14,8:00-10:00,S10061
10,A,2024-05-22,14:00-16:00,S10061
4,A,2024-05-12,16:00-18:00,S10061
66,D,2024-11-28,16:00-18:00,S10061
29,B,2024-12-13,14:00-16:00,S10061
19,A,2024-11-14,8:00-10:00,S10061
76,D,2024-11-14,16:00-18:00,S10061
41,C,2024-02-27,10:00-12:00,S10061
14,A,2024-10-20,14:00-16:00,S10061
56,C,2024-03-26,16:00-18:00,S10061
59,C,2024-06-01,16:00-18:00,S10061
35,B,2024-05-15,16:00-18:00,S10061
23,B,2024-11-22,14:00-16:00,S10061
75,D,2024-12-23,14:00-16:00,S10061
29,B,2024-04-04,16:00-18:00,S10061
76,D,2024-11-15,14:00-16:00,S10061
51,C,2024-05-27,14:00-16:00,S10061
52,C,2024-05-01,14:00-16:00,S10061
78,D,2024-09-14,14:00-16:00,S10061
78,D,2024-12-28,16:00-18:00,S10061
6,A,2024-05-05,14:00-16:00,S10061
71,D,2024-02-17,14:00-16:00,S10061
35,B,2024-11-27,10:00-12:00,S10061
72,D,2024-12-08,14:00-16:00,S10061
77,D,2024-03-23,16:00-18:00,S10061
80,D,2024-05-20,14:00-16:00,S10061
10,A,2024-09-28,14:00-16:00,S10061
69,D,2024-05-11,14:00-16:00,S10061
38,B,2024-12-03,10:00-12:00,S10061
70,D,2024-11-27,10:00-12:00,S10190
36,B,2024-04-11,14:00-16:00,S10190
31,B,2024-05-28,14:00-16:00,S10190
6,A,2024-06-20,14:00-16:00,S10190
78,D,2024-05-04,14:00-16:00,S10190
1,A,2024-12-10,14:00-16:00,S10190
17,A,2024-10-28,14:00-16:00,S10190
3,A,2024-09-24,16:00-18:00,S10190
24,B,2024-05-17,8:00-10:00,S10190
78,D,2024-02-09,16:00-18:00,S10190
58,C,2024-11-21,10:00-12:00,S10190
70,D,2024-05-17,10:00-12:00,S10190
57,C,2024-05-23,16:00-18:00,S10190
60,C,2024-05-16,10:00-12:00,S10190
41,C,2024-04-28,14:00-16:00,S10190
47,C,2024-04-19,16:00-18:00,S10190
17,A,2024-12-01,14:00-16:00,S10190
48,C,2024-02-16,14:00-16:00,S10190
13,A,2024-12-06,16:00-18:00,S10190
51,C,2024-12-03,10:00-12:00,S10190
76,D,2024-05-21,16:00-18:00,S10190
52,C,2024-03-27,10:00-12:00,S10190
45,C,2024-10-24,14:00-16:00,S10190
32,B,2024-09-12,16:00-18:00,S10190
69,D,2024-12-05,14:00-16:00,S10190
46,C,2024-06-27,14:00-16:00,S10190
50,C,2024-05-17,14:00-16:00,S10190
58,C,2024-11-23,14:00-16:00,S10190
17,A,2024-11-24,14:00-16:00,S10190
9,A,2024-12-25,14:00-16:00,S10192
44,C,2024-12-02,16:00-18:00,S10192
47,C,2024-10-02,14:00-16:00,S10192
69,D,2024-12-06,10:00-12:00,S10192
48,C,2024-05-03,10:00-12:00,S10192
18,A,2024-05-10,14:00-16:00,S10192
70,D,2024-05-17,14:00-16:00,S10192
67,D,2024-03-21,14:00-16:00,S10192
77,D,2024-05-16,8:00-10:00,S10192
14,A,2024-04-21,10:00-12:00,S10192
62,D,2024-12-08,14:00-16:00,S10192
75,D,2024-12-26,16:00-18:00,S10192
1,A,2024-11-11,16:00-18:00,S10192
77,D,2024-05-28,16:00-18:00,S10192
5,A,2024-06-20,8:00-10:00,S10192
17,A,2024-12-11,14:00-16:00,S10192
54,C,2024-03-22,14:00-16:00,S10192
5,A,2024-03-06,14:00-16:00,S10192
2,A,2024-05-04,8:00-10:00,S10192
16,A,2024-12-24,14:00-16:00,S10192
37,B,2024-12-18,14:00-16:00,S10192
11,A,2024-05-23,14:00-16:00,S10192
79,D,2024-05-09,10:00-12:00,S10192
77,D,2024-05-12,14:00-16:00,S10192
73,D,2024-05-06,10:00-12:00,S10192
21,B,2024-02-02,14:00-16:00,S10192
12,A,2024-10-19,14:00-16:00,S10192
49,C,2024-04-06,14:00-16:00,S10192
43,C,2024-03-08,16:00-18:00,S10192
44,C,2024-10-13,14:00-16:00,S10128
30,B,2024-05-11,14:00-16:00,S10128
68,D,2024-05-19,8:00-10:00,S10128
43,C,2024-10-21,14:00-16:00,S10128
46,C,2024-05-14,14:00-16:00,S10128
6,A,2024-05-08,10:00-12:00,S10128
75,D,2024-09-26,14:00-16:00,S10128
22,B,2024-11-11,10:00-12:00,S10128
65,D,2024-12-04,16:00-18:00,S10128
75,D,2024-03-22,8:00-10:00,S10128
39,B,2024-12-16,14:00-16:00,S10128
75,D,2024-12-12,16:00-18:00,S10128
70,D,2024-05-13,16:00-18:00,S10128
16,A,2024-06-28,14:00-16:00,S10128
56,C,2024-05-20,14:00-16:00,S10128
17,A,2024-12-17,14:00-16:00,S10128
35,B,2024-11-24,14:00-16:00,S10128
18,A,2024-05-12,16:00-18:00,S10128
32,B,2024-12-04,14:00-16:00,S10128
45,C,2024-12-09,16:00-18:00,S10128
1,A,2024-03-08,16:00-18:00,S10128
47,C,2024-05-09,10:00-12:00,S10128
57,C,2024-05-18,10:00-12:00,S10128
61,D,2024-02-26,8:00-10:00,S10128
60,C,2024-10-11,14:00-16:00,S10128
2,A,2024-12-15,16:00-18:00,S10128
51,C,2024-02-13,14:00-16:00,S10128
51,C,2024-05-06,10:00-12:00,S10128
51,C,2024-12-16,14:00-16:00,S10166
31,B,2024-11-03,14:00-16:00,S10166
59,C,2024-04-18,16:00-18:00,S10166
22,B,2024-03-24,14:00-16:00,S10166
10,A,2024-12-10,10:00-12:00,S10166
57,C,2024-10-18,14:00-16:00,S10166
17,A,2024-05-07,14:00-16:00,S10166
63,D,2024-12-16,16:00-18:00,S10166
17,A,2024-02-04,14:00-16:00,S10166
62,D,2024-05-26,16:00-18:00,S10166
27,B,2024-09-02,14:00-16:00,S10166
43,C,2024-12-09,16:00-18:00,S10166
31,B,2024-02-08,16:00-18:00,S10166
41,C,2024-11-07,10:00-12:00,S10166
57,C,2024-05-28,10:00-12:00,S10166
13,A,2024-12-11,14:00-16:00,S10166
48,C,2024-04-14,16:00-18:00,S10166
54,C,2024-03-12,16:00-18:00,S10166
1,A,2024-05-09,14:00-16:00,S10166
3,A,2024-02-12,14:00-16:00,S10166
38,B,2024-02-12,16:00-18:00,S10166
50,C,2024-06-26,10:00-12:00,S10166
30,B,2024-05-02,16:00-18:00,S10166
31,B,2024-05-03,10:00-12:00,S10166
11,A,2024-12-02,10:00-12:00,S10166
61,D,2024-05-28,14:00-16:00,S10166
70,D,2024-04-20,14:00-16:00,S10166
77,D,2024-01-09,14:00-16:00,S10166
72,D,2024-01-02,16:00-18:00,S10166
44,C,2024-10-24,14:00-16:00,S10166
61,D,2024-10-23,16:00-18:00,S10166
63,D,2024-05-20,14:00-16:00,S10166
33,B,2024-12-18,14:00-16:00,S10166
20,A,2024-05-28,14:00-16:00,S10166
18,A,2024-12-01,14:00-16:00,S10166
65,D,2024-12-20,8:00-10:00,S10166
50,C,2024-06-03,8:00-10:00,S10166
59,C,2024-05-06,14:00-16:00,S10166
3,A,2024-09-05,14:00-16:00,S10166
